RouteID,StopID,Schedule Period Name,Schedule Period Start Date,Schedule Period End Date,Day Type,Time Period,Average Boardings,Average Alightings
12,9985,Fall 2023,09/03/2023,12/16/2023,Weekday,PM Peak,2.1,3.6
12,10026,Fall 2018,09/02/2018,12/15/2018,Weekday,Morning,2.5,11.1
12,3308,Spring 2018,04/08/2018,06/16/2018,Sunday,Evening,3.8,3.2
12,10014,Winter 2020,12/13/2020,04/17/2021,Weekday,Night,0.1,0.1
12,3642,Spring 2024,04/14/2024,06/15/2024,Sunday,Morning,9,5
12,10027,Summer 2021,06/20/2021,09/04/2021,Saturday,Afternoon,0,0.3
12,9842,Summer 2024,06/16/2024,08/31/2024,Saturday,Night,1.3,5.3
12,10002,Summer 2019,06/16/2019,08/31/2019,Sunday,Evening,5.8,2.5
12,9924,Fall 2018,09/02/2018,12/15/2018,Saturday,Night,0.5,7.5
12,9895,Spring 2020,04/12/2020,05/02/2020,Weekday,Morning,13.6,1
12,2319,Fall 2018,09/02/2018,12/15/2018,Saturday,Morning,0.3,12
12,10028,Winter 2017,12/17/2017,04/07/2018,Weekday,Evening,0.7,0.8
12,9916,Fall 2022,09/04/2022,12/10/2022,Weekday,Evening,14,2.8
12,9914,Fall 2019,09/01/2019,12/14/2019,Weekday,Morning,6.9,64
12,10029,Fall 2021,09/05/2021,12/11/2021,Sunday,Night,0,2
12,10030,Spring 2021,04/18/2021,06/19/2021,Sunday,Night,0,0
12,3308,Winter 2023,12/17/2023,04/13/2024,Saturday,Night,0,0
12,3866,Spring 2018,04/08/2018,06/16/2018,Weekday,Night,0.5,0
12,9976,Spring 2020 Special,05/03/2020,08/01/2020,Saturday,Night,0,2
12,3329,Summer 2020,08/02/2020,09/05/2020,Weekday,Mid-Day,5,1.4
12,10031,Fall 2021,09/05/2021,12/11/2021,Weekday,PM Peak,2.3,1.4
12,10008,Fall 2020,09/06/2020,12/12/2020,Saturday,Evening,1.6,1.1
12,10014,Spring 2024,04/14/2024,06/15/2024,Sunday,Morning,0,0
12,2493,Spring 2024,04/14/2024,06/15/2024,Saturday,Night,2,4
12,9962,Winter 2022,12/11/2022,04/15/2023,Saturday,Afternoon,1,2.5
12,3391,Winter 2020,12/13/2020,04/17/2021,Saturday,Morning,5.3,5.8
12,3660,Spring 2024,04/14/2024,06/15/2024,Sunday,Morning,15.5,7.5
12,9894,Summer 2020,08/02/2020,09/05/2020,Saturday,Morning,0,0
12,10011,Spring 2022,04/17/2022,06/18/2022,Weekday,Mid-Day,1.6,1.6
12,9898,Summer 2021,06/20/2021,09/04/2021,Saturday,Night,0,0
12,9886,Spring 2018,04/08/2018,06/16/2018,Saturday,Evening,1,3
12,9938,Summer 2021,06/20/2021,09/04/2021,Sunday,Evening,0,0
12,10032,Winter 2020,12/13/2020,04/17/2021,Weekday,Mid-Day,0.9,0.3
12,4436,Fall 2018,09/02/2018,12/15/2018,Weekday,Morning,3.5,1.5
12,23,Winter 2018,12/16/2018,04/06/2019,Saturday,Afternoon,0.3,0.3
12,10033,Winter 2023,12/17/2023,04/13/2024,Weekday,Evening,0,0
12,9882,Spring 2018,04/08/2018,06/16/2018,Weekday,Evening,0,0
12,10034,Fall 2022,09/04/2022,12/10/2022,Weekday,Morning,2.2,0
12,3659,Spring 2019,04/07/2019,06/15/2019,Weekday,PM Peak,0,0.2
12,10035,Spring 2019,04/07/2019,06/15/2019,Weekday,Mid-Day,1.2,0
12,10023,Summer 2023,06/18/2023,09/02/2023,Weekday,Mid-Day,4,13.8
12,9951,Summer 2024,06/16/2024,08/31/2024,Saturday,Evening,0.3,1
12,10036,Spring 2018,04/08/2018,06/16/2018,Weekday,PM Peak,0.3,0
12,10037,Summer 2019,06/16/2019,08/31/2019,Sunday,Afternoon,2.5,0
12,10038,Winter 2022,12/11/2022,04/15/2023,Weekday,Night,0,0.1
12,10025,Spring 2022,04/17/2022,06/18/2022,Sunday,Afternoon,4.5,0.5
12,10039,Summer 2022,06/19/2022,09/03/2022,Sunday,Morning,0,1
12,2490,Summer 2024,06/16/2024,08/31/2024,Weekday,Mid-Day,44.9,59.7
12,10024,Fall 2019,09/01/2019,12/14/2019,Weekday,Evening,0.2,0.2
12,9885,Fall 2023,09/03/2023,12/16/2023,Saturday,Afternoon,1.5,0.5
12,9944,Spring 2020,04/12/2020,05/02/2020,Sunday,Morning,0,0
12,3276,Fall 2018,09/02/2018,12/15/2018,Weekday,PM Peak,0.8,2.8
12,9952,Winter 2022,12/11/2022,04/15/2023,Weekday,Morning,0,0.4
12,10040,Winter 2022,12/11/2022,04/15/2023,Sunday,Night,0,1
12,9976,Winter 2020,12/13/2020,04/17/2021,Saturday,Evening,1.3,2.3
12,2493,Fall 2018,09/02/2018,12/15/2018,Sunday,Afternoon,80.3,88.3
12,2369,Spring 2019,04/07/2019,06/15/2019,Saturday,Night,3,3
12,9922,Spring 2023,04/16/2023,06/17/2023,Weekday,Evening,0,0
12,10041,Summer 2019,06/16/2019,08/31/2019,Saturday,Morning,0,1
12,10042,Fall 2018,09/02/2018,12/15/2018,Sunday,Evening,0,0
12,3216,Spring 2023,04/16/2023,06/17/2023,Sunday,Afternoon,57,21
12,3889,Spring 2022,04/17/2022,06/18/2022,Weekday,Evening,1,0.3
12,10043,Fall 2019,09/01/2019,12/14/2019,Weekday,PM Peak,1.5,0.1
12,9885,Winter 2022,12/11/2022,04/15/2023,Weekday,Evening,1.4,0
12,3704,Winter 2020,12/13/2020,04/17/2021,Sunday,Afternoon,39.1,11.9
12,10007,Spring 2018,04/08/2018,06/16/2018,Sunday,Afternoon,17.5,5
12,10030,Summer 2024,06/16/2024,08/31/2024,Weekday,Mid-Day,1.3,1.6
12,10044,Fall 2018,09/02/2018,12/15/2018,Weekday,Morning,6.6,0.8
12,10045,Winter 2017,12/17/2017,04/07/2018,Weekday,Mid-Day,4.8,2.1
12,10000,Spring 2019,04/07/2019,06/15/2019,Saturday,Afternoon,3.8,0
12,9979,Winter 2022,12/11/2022,04/15/2023,Saturday,Afternoon,16.8,3.2
12,10046,Fall 2019,09/01/2019,12/14/2019,Weekday,Evening,0.6,0.4
12,9958,Fall 2023,09/03/2023,12/16/2023,Weekday,Morning,7.2,6.7
12,10038,Spring 2019,04/07/2019,06/15/2019,Weekday,Morning,0.5,0.5
12,9956,Summer 2018,06/17/2018,09/01/2018,Weekday,Night,0,0
12,4028,Spring 2018,04/08/2018,06/16/2018,Sunday,Afternoon,6,7
12,10047,Winter 2020,12/13/2020,04/17/2021,Weekday,Morning,0.1,0.1
12,9912,Summer 2020,08/02/2020,09/05/2020,Weekday,Morning,0.7,0.5
12,4028,Spring 2023,04/16/2023,06/17/2023,Sunday,Afternoon,8,26.5
12,2600,Spring 2024,04/14/2024,06/15/2024,Saturday,Morning,3.8,2.5
12,9908,Spring 2019,04/07/2019,06/15/2019,Sunday,Afternoon,0.3,0
12,4120,Summer 2018,06/17/2018,09/01/2018,Weekday,Night,0,0
12,10016,Winter 2021,12/12/2021,04/16/2022,Sunday,Morning,1,0.5
12,2554,Winter 2022,12/11/2022,04/15/2023,Sunday,Afternoon,90.4,31.8
12,10048,Winter 2019,12/15/2019,04/11/2020,Weekday,Evening,0,0
12,9976,Spring 2022,04/17/2022,06/18/2022,Sunday,Afternoon,16.3,19.8
12,10000,Winter 2023,12/17/2023,04/13/2024,Weekday,Morning,0,0.1
12,3992,Spring 2024,04/14/2024,06/15/2024,Weekday,Mid-Day,1.3,2.4
12,10049,Summer 2020,08/02/2020,09/05/2020,Weekday,Mid-Day,1.2,1.3
12,10050,Spring 2024,04/14/2024,06/15/2024,Sunday,Morning,1,0
12,9977,Fall 2022,09/04/2022,12/10/2022,Saturday,Morning,8,0.5
12,10051,Winter 2023,12/17/2023,04/13/2024,Sunday,Evening,0,0
12,9963,Summer 2018,06/17/2018,09/01/2018,Saturday,Afternoon,0,0.5
