StopID,StreetID,StopNumber
369,619,60385
370,609,50252
371,615,20159
372,102,60315
373,610,50832
374,720,30338
375,720,20394
376,609,50564
377,601,50285
378,849,10143
379,622,10542
380,620,10181
381,131,30195
382,727,61128
383,619,60153
384,607,10168
385,719,20198
386,64,10616
387,624,61110
388,618,11051
389,38,60444
390,628,10418
391,609,40565
392,64,61114
393,5663,60377
394,826,10630
395,676,10360
396,1349,11038
397,798,50059
398,605,20152
399,849,50050
400,17,10256
401,631,10181
402,601,10754
403,1278,30100
404,483,20269
405,64,40476
406,697,62025
407,601,10638
408,5675,60085
409,621,10581
410,4087,61042
411,720,10187
412,639,10725
413,636,50290
414,674,30754
415,368,10488
416,694,11028
417,5666,40482
418,619,40195
419,151,10624
420,768,20178
421,151,50496
422,209,10297
423,917,50599
424,429,10664
425,720,30202
426,601,60745
427,614,50279
428,474,20213
429,645,30340
430,904,40595
431,151,60035
432,634,50105
433,709,50496
434,695,60103
435,601,50751
436,601,20306
437,64,10582
438,325,20209
439,722,10638
440,611,10600
441,131,40588
442,682,60505
443,601,60260
444,804,40255
445,750,20245
446,674,50780
447,625,40129
448,720,11028
449,602,10493
450,666,50563
451,64,40295
452,665,10628
453,650,10639
454,99,30896
455,621,30704
456,64,40682
457,665,11027
458,601,10625
459,601,30363
460,631,20211
461,694,10580
462,131,10631
463,753,40790
464,639,60092
465,64,40054
466,609,30414
467,315,10637
468,622,60379
469,601,10186
470,172,30271
471,56,10582
472,856,40833
473,255,50694
474,64,60731
475,601,40064
476,621,10629
477,724,10543
478,834,10184
479,638,10122
480,700,40362
481,796,40542
482,817,60063
483,669,10115
484,611,30337
485,766,30740
486,64,60568
487,636,10704
488,831,30081
489,727,10485
490,611,10902
491,611,10172
492,779,60489
493,722,60558
494,625,60683
495,99,40580
496,650,20098
497,742,40433
498,611,30690
499,131,50673
500,99,60499
501,665,60249
502,534,40393
503,635,30365
504,634,10118
505,5677,11030
506,694,60109
507,658,40704
508,297,40189
509,601,10723
510,5671,62034
511,179,20221
512,76,10533
513,611,61210
514,617,60304
515,689,60474
516,5668,30626
517,601,50176
518,634,30568
519,93,10562
520,720,60110
521,636,50128
522,5674,50551
523,131,10455
524,624,60711
525,699,60237
526,615,60444
527,609,50066
528,429,50811
529,315,60372
530,56,60743
531,601,10006
532,151,50096
533,354,10583
534,631,50492
535,877,20462
536,5678,40872
537,634,10456
538,102,10421
539,601,60112
540,601,10303
541,657,10563
542,661,20235
543,601,40035
544,611,40466
545,5679,20227
546,310,60487
547,749,40356
548,310,50878
549,766,60794
550,615,50884
551,661,10132
552,665,50527
553,639,40470
554,665,30356
555,655,30588
556,5680,30379
557,615,30759
558,23,62022
559,131,50536
560,604,10288
561,97,60242
562,93,60512
563,446,50430
564,922,50134
565,196,40621
566,737,61093
567,5668,10444
568,641,50114
569,68,30580
